Klub;Sezon;Adres;Prezes;Wiceprezs;Manager;Pierwszy trener;Drugi trener
Atom Trefl Sopot;2013/2014; Plac Dwóch Miast 1, Sopot; Marek Wierzbicki; Bartosz Kurnatowski;;" Tomasz Wasilkowski
															"; 								Piotr Graban																					
Beef Master Budowlani £ódŸ;2013/2014; Al. Unii Lubelskiej 2, £ódŸ; Marcin Chudzik;;;" Adam Grabowski
															"; 								Jakub G³uszak																					
BKS Aluprof Bielsko-Bia³a;2013/2014; ul. Armii Krajowej 220, Bielsko-Bia³a; Aleksandra Jagie³o;; Mariola Wojtowicz;" Miroslaw Zawieracz
																					";
Impel Wroc³aw;2013/2014; al. I.J. Paderewskiego 35, Wroc³aw; Jacek Grabowski;;;" Tore Aleksandersen
															"; 								Marek Solarewicz																					
KPS Chemik Police;2013/2014; ul. Grunwaldzka 17, Police; Pawe³ Frankowski;;;" Giuseppe Cuccarini
															"; 								Michal Masek																					
KS Pa³ac Bydgoszcz;2013/2014; ul. Jagielloñska 27, Bydgoszcz; Piotr Makowski;;;" Rafa³ G¹sior
															"; 								Dawid Pawlik																					
PGNiG Nafta Pi³a;2013/2014; ul. ¯eromskiego 90, Pi³a; Rados³aw Ciemiêga;;;" Wieslaw Popik
															"; 								Dominik Kwapisiewicz,																							£ukasz Przybylak																					
Polski Cukier Muszynianka Fakro Bank BPS;2013/2014;4.Rok budowy: 2006; JE¯OWSKI GRZEGORZ;;;" Bogdan Serwiñski
															"; 								Ryszard Litwin																					
Siódemka SK Bank Legionovia Legionowo;2013/2014; ul. Chrobrego 50B, Legionowo; Konrad Ciejka;; Maciej Szewczyk;" Maciej Kosmol
															"; 								Robert Strzalkowski																					
Tauron Banimex MKS D¹browa Górnicza;2013/2014; Aleja Ró¿ 3, D¹browa Górnicza; Robert Kaæma; Katarzyna Sobstyl;;" Nicola Negro
															"; 								Leszek Rus																					
BKS Aluprof Bielsko-Bia³a;2014/2015; ul. Armii Krajowej 220, Bielsko-Bia³a; Aleksandra Jagie³o;; Mariola Wojtowicz;" Leszek Rus
																					";
Budowlani £ódŸ;2014/2015; Al. Unii Lubelskiej 2, £ódŸ; Marcin Chudzik;;;" B³a¿ej Krzyszta³owicz
																					";
Chemik Police;2014/2015; ul. Grunwaldzka 17, Police; Pawe³ Frankowski;;;" Giuseppe Cuccarini
															"; 								Jakub G³uszak																					
Developres SkyRes Rzeszów;2014/2015; ul. Podpromie 10, Rzeszów; Rafa³ Mardoñ;; Paulina Peret;" Mariusz Wiktorowicz
															"; 								Stanis³aw Pieczonka																					
Impel Wroc³aw;2014/2015; al. I.J. Paderewskiego 35, Wroc³aw; Jacek Grabowski;;;" Tore Aleksandersen
															"; 								Marek Solarewicz																					
KS PA£AC Bydgoszcz;2014/2015; ul. Jagielloñska 27, Bydgoszcz; Piotr Makowski;;;" Adam Grabowski
															"; 								Dawid Pawlik																					
KSZO Ostrowiec;2014/2015; ul. Œwiêtokrzyska 11, Ostrowiec Œwiêtokrzyski; Miros³aw Buszkiewicz;;;" Dariusz Parkitny
															"; 								Rafa³ Dytkowski																					
PGE Atom Trefl Sopot;2014/2015; Plac Dwóch Miast 1, Sopot; Marek Wierzbicki; Bartosz Kurnatowski;;" Lorenzo Micelli
															"; 								Vasja Samec Lipicer																					
PGNiG Nafta Pi³a;2014/2015; ul. ¯eromskiego 90, Pi³a; Rados³aw Ciemiêga;;;" £ukasz Przybylak
															"; 								Maciej Œlusarczyk																					
Polski Cukier Muszynianka;2014/2015;4.Rok budowy: 2006; JE¯OWSKI GRZEGORZ;;;" Bogdan Serwiñski
																					";
SK bank Legionovia Legionowo;2014/2015; ul. Chrobrego 50B, Legionowo; Konrad Ciejka;; Maciej Szewczyk;" Ettore Guidetti
															"; 								Robert Strzalkowski																					
TAURON BANIMEX MKS D¥BROWA GÓRNICZA;2014/2015; Aleja Ró¿ 3, D¹browa Górnicza; Robert Kaæma; Katarzyna Sobstyl;;" Juan Manuel Serramalera
															"; 								Tomasz Wasilkowski																					
BKS ALUPROF PROFI CREDIT Bielsko-Bia³a;2015/2016; ul. Armii Krajowej 220, Bielsko-Bia³a; Aleksandra Jagie³o;; Mariola Wojtowicz;" Mariusz Wiktorowicz
															"; 								Bart³omiej Piekarczyk																					
Budowlani £ódŸ;2015/2016; Al. Unii Lubelskiej 2, £ódŸ; Marcin Chudzik;;;" Jacek Pasiñski
															"; 								B³a¿ej Krzyszta³owicz																					
Chemik Police;2015/2016; ul. Grunwaldzka 17, Police; Pawe³ Frankowski;;;" Jakub G³uszak
															"; 								Jakub Krebok																					
Developres SkyRes Rzeszów;2015/2016; ul. Podpromie 10, Rzeszów; Rafa³ Mardoñ;; Paulina Peret;" Jacek Skrok
															"; 								Stanis³aw Pieczonka																					
Impel Wroc³aw;2015/2016; al. I.J. Paderewskiego 35, Wroc³aw; Jacek Grabowski;;;" Jacek Grabowski
															"; 								Marek Solarewicz																					
KS PA£AC Bydgoszcz;2015/2016; ul. Jagielloñska 27, Bydgoszcz; Piotr Makowski;;;" Adam Grabowski
															"; 								Dawid Pawlik																					
KSZO OSTROWIEC;2015/2016; ul. Œwiêtokrzyska 11, Ostrowiec Œwiêtokrzyski; Miros³aw Buszkiewicz;;;" Dariusz Parkitny
															"; 								Rafa³ Dytkowski																					
Legionovia Legionowo;2015/2016; ul. Chrobrego 50B, Legionowo; Konrad Ciejka;; Maciej Szewczyk;" Ettore Guidetti
															"; 								Robert Strzalkowski																					
PGE Atom Trefl Sopot;2015/2016; Plac Dwóch Miast 1, Sopot; Marek Wierzbicki; Bartosz Kurnatowski;;" Lorenzo Micelli
															"; 								Vasja Samec Lipicer,																							Piotr Graban																					
Polski Cukier Muszynianka Enea;2015/2016;4.Rok budowy: 2006; JE¯OWSKI GRZEGORZ;;;" Bogdan Serwiñski
															"; 								Ryszard Litwin,																							Marcin Wojtowicz																					
PTPS Pi³a;2015/2016; ul. ¯eromskiego 90, Pi³a; Rados³aw Ciemiêga;;;" Nicola Vettori
															"; 								£ukasz Przybylak																					
Tauron MKS D¹browa Górnicza;2015/2016; Aleja Ró¿ 3, D¹browa Górnicza; Robert Kaæma; Katarzyna Sobstyl;;" Juan Manuel Serramalera
															"; 								Magdalena Œliwa																					
Atom Trefl Sopot;2016/2017; Plac Dwóch Miast 1, Sopot; Marek Wierzbicki; Bartosz Kurnatowski;;" Piotr Olenderek
																					";
BKS PROFI CREDIT Bielsko-Bia³a;2016/2017; ul. Armii Krajowej 220, Bielsko-Bia³a; Aleksandra Jagie³o;; Mariola Wojtowicz;" Tore Aleksandersen
															"; 								Bart³omiej Piekarczyk																					
Chemik Police;2016/2017; ul. Grunwaldzka 17, Police; Pawe³ Frankowski;;;" Jakub G³uszak
															"; 								Jakub Krebok																					
Developres SkyRes Rzeszów;2016/2017; ul. Podpromie 10, Rzeszów; Rafa³ Mardoñ;; Paulina Peret;" Lorenzo Micelli
															"; 								Dawid Pawlik																					
Enea PTPS Pi³a;2016/2017; ul. ¯eromskiego 90, Pi³a; Rados³aw Ciemiêga;;;" Jacek Pasiñski
															"; 								Piotr Sobolewski																					
Giacomini Budowlani Toruñ;2016/2017; ul. Bema 73/89, Toruñ;;;;" Nicola Vettori
															"; 								Marcin Szendzielarz																					
Grot Budowlani £ódŸ;2016/2017; Al. Unii Lubelskiej 2, £ódŸ; Marcin Chudzik;;;" B³a¿ej Krzyszta³owicz
															"; 								Tadeusz Krzyszta³owicz																					
Impel Wroc³aw;2016/2017; al. I.J. Paderewskiego 35, Wroc³aw; Jacek Grabowski;;;" Marek Solarewicz
															"; 								Wojciech Kurczyñski																					
KS PA£AC Bydgoszcz;2016/2017; ul. Jagielloñska 27, Bydgoszcz; Piotr Makowski;;;" Adam Grabowski
															"; 								Sebastian Tylicki																					
