Druzyna Home;Druzyna Away;Wynik Home;Wynik Away;Lokalizacja;Data meczu;Klucz;Sezon
KPS Chemik Police;Siódemka SK Bank Legionovia Legionowo;3;0;H;15.03.2014, 18:00;15.03.2014KPS Chemik Police-3:0-Siódemka SK Bank Legionovia Legionowo;2013/2014
KPS Chemik Police;Siódemka SK Bank Legionovia Legionowo;3;0;A;15.03.2014, 18:00;15.03.2014KPS Chemik Police-3:0-Siódemka SK Bank Legionovia Legionowo;2013/2014
Atom Trefl Sopot;Beef Master Budowlani £ódŸ;3;0;H;15.03.2014, 17:00;15.03.2014Atom Trefl Sopot-3:0-Beef Master Budowlani £ódŸ;2013/2014
Atom Trefl Sopot;Beef Master Budowlani £ódŸ;3;0;A;15.03.2014, 17:00;15.03.2014Atom Trefl Sopot-3:0-Beef Master Budowlani £ódŸ;2013/2014
Impel Wroc³aw;Polski Cukier Muszynianka Fakro Bank BPS;3;0;H;17.03.2014, 19:00;17.03.2014Impel Wroc³aw-3:0-Polski Cukier Muszynianka Fakro Bank BPS;2013/2014
Impel Wroc³aw;Polski Cukier Muszynianka Fakro Bank BPS;3;0;A;17.03.2014, 19:00;17.03.2014Impel Wroc³aw-3:0-Polski Cukier Muszynianka Fakro Bank BPS;2013/2014
Tauron Banimex MKS D¹browa Górnicza;BKS Aluprof Bielsko-Bia³a;3;1;H;16.03.2014, 17:00;16.03.2014Tauron Banimex MKS D¹browa Górnicza-3:1-BKS Aluprof Bielsko-Bia³a;2013/2014
Tauron Banimex MKS D¹browa Górnicza;BKS Aluprof Bielsko-Bia³a;3;1;A;16.03.2014, 17:00;16.03.2014Tauron Banimex MKS D¹browa Górnicza-3:1-BKS Aluprof Bielsko-Bia³a;2013/2014
KPS Chemik Police;Siódemka SK Bank Legionovia Legionowo;3;1;H;16.03.2014, 18:00;16.03.2014KPS Chemik Police-3:1-Siódemka SK Bank Legionovia Legionowo;2013/2014
KPS Chemik Police;Siódemka SK Bank Legionovia Legionowo;3;1;A;16.03.2014, 18:00;16.03.2014KPS Chemik Police-3:1-Siódemka SK Bank Legionovia Legionowo;2013/2014
Atom Trefl Sopot;Beef Master Budowlani £ódŸ;3;0;H;16.03.2014, 17:00;16.03.2014Atom Trefl Sopot-3:0-Beef Master Budowlani £ódŸ;2013/2014
Atom Trefl Sopot;Beef Master Budowlani £ódŸ;3;0;A;16.03.2014, 17:00;16.03.2014Atom Trefl Sopot-3:0-Beef Master Budowlani £ódŸ;2013/2014
Impel Wroc³aw;Polski Cukier Muszynianka Fakro Bank BPS;3;0;H;18.03.2014, 18:00;18.03.2014Impel Wroc³aw-3:0-Polski Cukier Muszynianka Fakro Bank BPS;2013/2014
Impel Wroc³aw;Polski Cukier Muszynianka Fakro Bank BPS;3;0;A;18.03.2014, 18:00;18.03.2014Impel Wroc³aw-3:0-Polski Cukier Muszynianka Fakro Bank BPS;2013/2014
Tauron Banimex MKS D¹browa Górnicza;BKS Aluprof Bielsko-Bia³a;3;0;H;17.03.2014, 20:00;17.03.2014Tauron Banimex MKS D¹browa Górnicza-3:0-BKS Aluprof Bielsko-Bia³a;2013/2014
Tauron Banimex MKS D¹browa Górnicza;BKS Aluprof Bielsko-Bia³a;3;0;A;17.03.2014, 20:00;17.03.2014Tauron Banimex MKS D¹browa Górnicza-3:0-BKS Aluprof Bielsko-Bia³a;2013/2014
Siódemka SK Bank Legionovia Legionowo;KPS Chemik Police;1;3;H;22.03.2014, 18:00;22.03.2014Siódemka SK Bank Legionovia Legionowo-1:3-KPS Chemik Police;2013/2014
Siódemka SK Bank Legionovia Legionowo;KPS Chemik Police;1;3;A;22.03.2014, 18:00;22.03.2014Siódemka SK Bank Legionovia Legionowo-1:3-KPS Chemik Police;2013/2014
Beef Master Budowlani £ódŸ;Atom Trefl Sopot;0;3;H;19.03.2014, 17:30;19.03.2014Beef Master Budowlani £ódŸ-0:3-Atom Trefl Sopot;2013/2014
Beef Master Budowlani £ódŸ;Atom Trefl Sopot;0;3;A;19.03.2014, 17:30;19.03.2014Beef Master Budowlani £ódŸ-0:3-Atom Trefl Sopot;2013/2014
Polski Cukier Muszynianka Fakro Bank BPS;Impel Wroc³aw;0;3;H;23.03.2014, 20:00;23.03.2014Polski Cukier Muszynianka Fakro Bank BPS-0:3-Impel Wroc³aw;2013/2014
Polski Cukier Muszynianka Fakro Bank BPS;Impel Wroc³aw;0;3;A;23.03.2014, 20:00;23.03.2014Polski Cukier Muszynianka Fakro Bank BPS-0:3-Impel Wroc³aw;2013/2014
BKS Aluprof Bielsko-Bia³a;Tauron Banimex MKS D¹browa Górnicza;2;3;H;23.03.2014, 18:00;23.03.2014BKS Aluprof Bielsko-Bia³a-2:3-Tauron Banimex MKS D¹browa Górnicza;2013/2014
BKS Aluprof Bielsko-Bia³a;Tauron Banimex MKS D¹browa Górnicza;2;3;A;23.03.2014, 18:00;23.03.2014BKS Aluprof Bielsko-Bia³a-2:3-Tauron Banimex MKS D¹browa Górnicza;2013/2014
Atom Trefl Sopot;Impel Wroc³aw;0;3;H;29.03.2014, 14:45;29.03.2014Atom Trefl Sopot-0:3-Impel Wroc³aw;2013/2014
Atom Trefl Sopot;Impel Wroc³aw;0;3;A;29.03.2014, 14:45;29.03.2014Atom Trefl Sopot-0:3-Impel Wroc³aw;2013/2014
KPS Chemik Police;Tauron Banimex MKS D¹browa Górnicza;3;1;H;30.03.2014, 16:30;30.03.2014KPS Chemik Police-3:1-Tauron Banimex MKS D¹browa Górnicza;2013/2014
KPS Chemik Police;Tauron Banimex MKS D¹browa Górnicza;3;1;A;30.03.2014, 16:30;30.03.2014KPS Chemik Police-3:1-Tauron Banimex MKS D¹browa Górnicza;2013/2014
KPS Chemik Police;Tauron Banimex MKS D¹browa Górnicza;3;1;H;31.03.2014, 18:00;31.03.2014KPS Chemik Police-3:1-Tauron Banimex MKS D¹browa Górnicza;2013/2014
KPS Chemik Police;Tauron Banimex MKS D¹browa Górnicza;3;1;A;31.03.2014, 18:00;31.03.2014KPS Chemik Police-3:1-Tauron Banimex MKS D¹browa Górnicza;2013/2014
Atom Trefl Sopot;Impel Wroc³aw;3;2;H;30.03.2014, 14:45;30.03.2014Atom Trefl Sopot-3:2-Impel Wroc³aw;2013/2014
Atom Trefl Sopot;Impel Wroc³aw;3;2;A;30.03.2014, 14:45;30.03.2014Atom Trefl Sopot-3:2-Impel Wroc³aw;2013/2014
Tauron Banimex MKS D¹browa Górnicza;KPS Chemik Police;2;3;H;04.04.2014, 18:00;04.04.2014Tauron Banimex MKS D¹browa Górnicza-2:3-KPS Chemik Police;2013/2014
Tauron Banimex MKS D¹browa Górnicza;KPS Chemik Police;2;3;A;04.04.2014, 18:00;04.04.2014Tauron Banimex MKS D¹browa Górnicza-2:3-KPS Chemik Police;2013/2014
Impel Wroc³aw;Atom Trefl Sopot;3;0;H;07.04.2014, 20:30;07.04.2014Impel Wroc³aw-3:0-Atom Trefl Sopot;2013/2014
Impel Wroc³aw;Atom Trefl Sopot;3;0;A;07.04.2014, 20:30;07.04.2014Impel Wroc³aw-3:0-Atom Trefl Sopot;2013/2014
Impel Wroc³aw;Atom Trefl Sopot;3;1;H;08.04.2014, 20:30;08.04.2014Impel Wroc³aw-3:1-Atom Trefl Sopot;2013/2014
Impel Wroc³aw;Atom Trefl Sopot;3;1;A;08.04.2014, 20:30;08.04.2014Impel Wroc³aw-3:1-Atom Trefl Sopot;2013/2014
Siódemka SK Bank Legionovia Legionowo;BKS Aluprof Bielsko-Bia³a;0;3;H;29.03.2014, 18:00;29.03.2014Siódemka SK Bank Legionovia Legionowo-0:3-BKS Aluprof Bielsko-Bia³a;2013/2014
Siódemka SK Bank Legionovia Legionowo;BKS Aluprof Bielsko-Bia³a;0;3;A;29.03.2014, 18:00;29.03.2014Siódemka SK Bank Legionovia Legionowo-0:3-BKS Aluprof Bielsko-Bia³a;2013/2014
Beef Master Budowlani £ódŸ;Polski Cukier Muszynianka Fakro Bank BPS;1;3;H;02.04.2014, 18:00;02.04.2014Beef Master Budowlani £ódŸ-1:3-Polski Cukier Muszynianka Fakro Bank BPS;2013/2014
Beef Master Budowlani £ódŸ;Polski Cukier Muszynianka Fakro Bank BPS;1;3;A;02.04.2014, 18:00;02.04.2014Beef Master Budowlani £ódŸ-1:3-Polski Cukier Muszynianka Fakro Bank BPS;2013/2014
BKS Aluprof Bielsko-Bia³a;Siódemka SK Bank Legionovia Legionowo;3;1;H;05.04.2014, 18:00;05.04.2014BKS Aluprof Bielsko-Bia³a-3:1-Siódemka SK Bank Legionovia Legionowo;2013/2014
BKS Aluprof Bielsko-Bia³a;Siódemka SK Bank Legionovia Legionowo;3;1;A;05.04.2014, 18:00;05.04.2014BKS Aluprof Bielsko-Bia³a-3:1-Siódemka SK Bank Legionovia Legionowo;2013/2014
Polski Cukier Muszynianka Fakro Bank BPS;Beef Master Budowlani £ódŸ;3;1;H;10.04.2014, 18:00;10.04.2014Polski Cukier Muszynianka Fakro Bank BPS-3:1-Beef Master Budowlani £ódŸ;2013/2014
