Rachael Adams;//img.women.siatkarskaliga.pl/player_400.png;https://www.tauronliga.pl/players/id/85821.html; 03.06.1990;Œrodkowa; 189; 71; 303
Irina Archangielskaja;https://dl.siatkarskaliga.pl/69494/inline/scalecrop=400x400/792339/15_Archangielskaja.jpg;https://www.tauronliga.pl/players/id/85827.html; 05.08.1965;Rozgrywaj¹ca; 174; 0; 0
Agata Babicz;https://dl.siatkarskaliga.pl/69492/inline/scalecrop=400x400/54fdf2/11_Babicz.jpg;https://www.tauronliga.pl/players/id/85644.html; 16.03.1986;Przyjmuj¹ca; 171; 63; 288
Patrycja Balmas;https://dl.siatkarskaliga.pl/69425/inline/scalecrop=400x400/7f7168/Polak.jpg;https://www.tauronliga.pl/players/id/85684.html; 23.02.1991;Atakuj¹ca; 183; 63; 308
Weronika Barabasz;//img.women.siatkarskaliga.pl/player_400.png;https://www.tauronliga.pl/players/id/91272.html; 03.05.1995;Libero; 0; 0; 0
Lauren Barfield;https://dl.siatkarskaliga.pl/69436/inline/scalecrop=400x400/395591/barfield.JPG;https://www.tauronliga.pl/players/id/88276.html; 15.03.1990;Œrodkowa; 196; 69; 334
Kinga B¹k;https://dl.siatkarskaliga.pl/69435/inline/scalecrop=400x400/d5bd08/bak.JPG;https://www.tauronliga.pl/players/id/85810.html; 29.04.1982;Rozgrywaj¹ca; 178; 62; 293
Agnieszka Bednarek;https://dl.siatkarskaliga.pl/69471/inline/scalecrop=400x400/924958/bednarek-kasza.jpg;https://www.tauronliga.pl/players/id/85554.html; 20.02.1986;Œrodkowa; 185; 75; 302
Heike Beier;https://dl.siatkarskaliga.pl/69463/inline/scalecrop=400x400/edd4f8/Heike-Beier.jpg;https://www.tauronliga.pl/players/id/88267.html; 09.12.1983;Przyjmuj¹ca; 184; 74; 306
Izabela Be³cik;https://dl.siatkarskaliga.pl/69499/inline/scalecrop=400x400/f6e7e4/4-belcik-i.jpg;https://www.tauronliga.pl/players/id/85537.html; 29.11.1980;Rozgrywaj¹ca; 185; 70; 304
Marta Biedziak;https://dl.siatkarskaliga.pl/69441/inline/scalecrop=400x400/668f5a/Marta-Biedziak.jpg;https://www.tauronliga.pl/players/id/85782.html; 17.04.1993;Rozgrywaj¹ca; 173; 78; 285
Ana Bjelica;https://dl.siatkarskaliga.pl/69475/inline/scalecrop=400x400/766ea7/bjelica.jpg;https://www.tauronliga.pl/players/id/88237.html; 03.04.1992;Przyjmuj¹ca; 190; 78; 310
Maren Brinker;https://dl.siatkarskaliga.pl/69424/inline/scalecrop=400x400/d953e8/Brinker.jpg;https://www.tauronliga.pl/players/id/88266.html; 10.07.1986;Przyjmuj¹ca; 184; 69; 307
Ewelina Brzeziñska;https://dl.siatkarskaliga.pl/69423/inline/scalecrop=400x400/aa391e/Sieczka.jpg;https://www.tauronliga.pl/players/id/85592.html; 26.01.1988;Przyjmuj¹ca; 182; 75; 301
Ewa Cabajewska;https://dl.siatkarskaliga.pl/69515/inline/scalecrop=400x400/ad454c/CabajewskaEwa.jpg;https://www.tauronliga.pl/players/id/85752.html; 08.11.1978;Rozgrywaj¹ca; 176; 68; 302
Noris Cabrera;https://dl.siatkarskaliga.pl/69518/inline/scalecrop=400x400/34d3c9/AceaCabreraNoris.jpg;https://www.tauronliga.pl/players/id/85807.html; 25.10.1986;Przyjmuj¹ca; 183; 75; 309
Ozge Cemberci;//img.women.siatkarskaliga.pl/player_400.png;https://www.tauronliga.pl/players/id/90259.html; 26.06.1985;Rozgrywaj¹ca; 182; 68; 300
Karolina Ciaszkiewicz-Lach;https://dl.siatkarskaliga.pl/69458/inline/scalecrop=400x400/ac26ef/Karolina-Ciaszkiewicz-Lach.jpg;https://www.tauronliga.pl/players/id/85612.html; 07.09.1979;Przyjmuj¹ca; 0; 0; 0
Marina Cvetanovic;https://dl.siatkarskaliga.pl/69521/inline/scalecrop=400x400/a6ab55/marina-cvetanovic-orlen-liga.jpg;https://www.tauronliga.pl/players/id/91274.html; 14.02.1986;Przyjmuj¹ca; 189; 73; 306
Monika Czypiruk-Solarewicz;https://dl.siatkarskaliga.pl/69457/inline/scalecrop=400x400/c6028d/Monika-Czypiruk-Solarewicz.jpg;https://www.tauronliga.pl/players/id/85685.html; 27.07.1982;Przyjmuj¹ca; 185; 71; 289
Zuzanna Czy¿nielewska;https://dl.siatkarskaliga.pl/69448/inline/scalecrop=400x400/5da41a/Zuzanna-Czyznielewska.jpg;https://www.tauronliga.pl/players/id/85780.html; 24.04.1992;Atakuj¹ca; 186; 72; 305
Frauke Dirickx;https://dl.siatkarskaliga.pl/69418/inline/scalecrop=400x400/e27085/Dirickx.jpg;https://www.tauronliga.pl/players/id/85776.html; 03.01.1980;Rozgrywaj¹ca; 186; 74; 306
Kristen Dozier;//img.women.siatkarskaliga.pl/player_400.png;https://www.tauronliga.pl/players/id/90256.html; 01.07.1988;Œrodkowa; 188; 0; 0
Kinga Dybek;https://dl.siatkarskaliga.pl/69444/inline/scalecrop=400x400/d18be8/Kinga-Dybek.jpg;https://www.tauronliga.pl/players/id/88254.html; 16.12.1994;Przyjmuj¹ca; 185; 74; 296
Eleonora Dziêkiewicz;//img.women.siatkarskaliga.pl/player_400.png;https://www.tauronliga.pl/players/id/85613.html; 25.10.1978;Œrodkowa; 185; 78; 308
Magdalena Dzikowicz;https://dl.siatkarskaliga.pl/69507/inline/scalecrop=400x400/5d0bdb/12-kuziak-m.jpg;https://www.tauronliga.pl/players/id/85803.html; 02.01.1994;Libero; 161; 48; 250
Zuzanna Efimienko-M³otkowska;https://dl.siatkarskaliga.pl/69503/inline/scalecrop=400x400/4414e4/8-efimienko-z.jpg;https://www.tauronliga.pl/players/id/85657.html; 08.08.1989;Œrodkowa; 196; 80; 318
Weronika Fojucik;//img.women.siatkarskaliga.pl/player_400.png;https://www.tauronliga.pl/players/id/91273.html; 03.05.1996;Przyjmuj¹ca; 182; 77; 305
Natalia Gajewska;https://dl.siatkarskaliga.pl/69496/inline/scalecrop=400x400/0826c8/1-gajewska-n.jpg;https://www.tauronliga.pl/players/id/85802.html; 24.05.1994;Rozgrywaj¹ca; 177; 65; 282
Katarzyna Gajga³-Anio³;https://dl.siatkarskaliga.pl/69469/inline/scalecrop=400x400/3603ea/gajgal-aniol.jpg;https://www.tauronliga.pl/players/id/85614.html; 21.09.1981;Œrodkowa; 191; 85; 308
Tamara Ga³ucha;https://dl.siatkarskaliga.pl/69451/inline/scalecrop=400x400/a5e65f/Tamara-Kaliszuk.jpg;https://www.tauronliga.pl/players/id/85581.html; 20.03.1990;Atakuj¹ca; 180; 75; 305
Anna Gawêcka;https://dl.siatkarskaliga.pl/69431/inline/scalecrop=400x400/3d9db7/solodkowicz.JPG;https://www.tauronliga.pl/players/id/85575.html; 15.02.1984;Przyjmuj¹ca; 0; 0; 0
Ma³gorzata Glinka-Mogentale;https://dl.siatkarskaliga.pl/69472/inline/scalecrop=400x400/67b6ac/glinka.jpg;https://www.tauronliga.pl/players/id/88236.html; 30.09.1978;Przyjmuj¹ca; 191; 75; 315
Paulina G³az;https://dl.siatkarskaliga.pl/69446/inline/scalecrop=400x400/05bf26/Paulina-Glaz.jpg;https://www.tauronliga.pl/players/id/85828.html; 04.01.1994;Przyjmuj¹ca; 185; 71; 307
Welissa 'Sassa' Gonzaga;//img.women.siatkarskaliga.pl/player_400.png;https://www.tauronliga.pl/players/id/88262.html; 09.09.1982;Przyjmuj¹ca; 178; 85; 300
Monika Gorzewska;https://dl.siatkarskaliga.pl/69449/inline/scalecrop=400x400/e44486/Monika-Naczk.jpg;https://www.tauronliga.pl/players/id/85608.html; 06.03.1987;Œrodkowa; 0; 0; 0
Martyna Grajber;https://dl.siatkarskaliga.pl/69517/inline/scalecrop=400x400/503be7/GrajberMartyna.jpg;https://www.tauronliga.pl/players/id/88250.html; 28.03.1995;Przyjmuj¹ca; 181; 75; 302
Anna Grejman;https://dl.siatkarskaliga.pl/69470/inline/scalecrop=400x400/014401/grejman.jpg;https://www.tauronliga.pl/players/id/85777.html; 08.06.1993;Przyjmuj¹ca; 183; 64; 309
Aleksandra Gromadowska;//img.women.siatkarskaliga.pl/player_400.png;https://www.tauronliga.pl/players/id/88265.html; 03.02.1996;Przyjmuj¹ca; 188; 74; 311
Magdalena Gryka;https://dl.siatkarskaliga.pl/69422/inline/scalecrop=400x400/c27370/Gryka.jpg;https://www.tauronliga.pl/players/id/88264.html; 28.03.1994;Rozgrywaj¹ca; 178; 65; 290
Natalia Guadalupe Brussa;//img.women.siatkarskaliga.pl/player_400.png;https://www.tauronliga.pl/players/id/88261.html; 13.02.1985;Atakuj¹ca; 188; 72; 310
Magdalena Hawry³a;//img.women.siatkarskaliga.pl/player_400.png;https://www.tauronliga.pl/players/id/91263.html; 01.01.1989;Œrodkowa; 190; 74; 320
Kimberly Hill;https://dl.siatkarskaliga.pl/69505/inline/scalecrop=400x400/89a753/10-hill-k.jpg;https://www.tauronliga.pl/players/id/88234.html; 30.11.1989;Przyjmuj¹ca; 193; 72; 320
Helena Horka;https://dl.siatkarskaliga.pl/69454/inline/scalecrop=400x400/5b3f58/Helena-Horka.jpg;https://www.tauronliga.pl/players/id/85615.html; 15.06.1981;Atakuj¹ca; 190; 73; 319
Aleksandra Jagie³o;https://dl.siatkarskaliga.pl/69531/inline/scalecrop=400x400/7e81ad/img_2493.jpg;https://www.tauronliga.pl/players/id/85547.html; 02.06.1980;Przyjmuj¹ca; 180; 66; 306
Ewelina Janicka;https://dl.siatkarskaliga.pl/69445/inline/scalecrop=400x400/aa62df/Ewelina-Janicka.jpg;https://www.tauronliga.pl/players/id/88255.html; 04.11.1994;Œrodkowa; 193; 78; 305
Gabriela Jasiñska;https://dl.siatkarskaliga.pl/69526/inline/scalecrop=400x400/34c16a/img_2560.jpg;https://www.tauronliga.pl/players/id/88277.html; 14.07.1992;Rozgrywaj¹ca; 180; 63; 298
Katarzyna JóŸwicka;https://dl.siatkarskaliga.pl/69438/inline/scalecrop=400x400/62c0b5/jozwicka.JPG;https://www.tauronliga.pl/players/id/85693.html; 24.09.1984;Œrodkowa; 187; 73; 315
Anna Kaczmar;//img.women.siatkarskaliga.pl/player_400.png;https://www.tauronliga.pl/players/id/85616.html; 26.09.1985;Rozgrywaj¹ca; 184; 69; 299
Joanna Kaczor;https://dl.siatkarskaliga.pl/69426/inline/scalecrop=400x400/346598/Kaczor.jpg;https://www.tauronliga.pl/players/id/85539.html; 16.09.1984;Atakuj¹ca; 191; 70; 315
Klaudia Kaczorowska;https://dl.siatkarskaliga.pl/69508/inline/scalecrop=400x400/c3eee0/16-kaczorowska-k.jpg;https://www.tauronliga.pl/players/id/85550.html; 20.12.1988;Przyjmuj¹ca; 183; 69; 305
Marina Katic;//img.women.siatkarskaliga.pl/player_400.png;https://www.tauronliga.pl/players/id/85796.html; 01.10.1983;Rozgrywaj¹ca; 180; 68; 294
Julia K¹kol;https://dl.siatkarskaliga.pl/69443/inline/scalecrop=400x400/abbb80/Julia-Twardowska.jpg;https://www.tauronliga.pl/players/id/88253.html; 04.05.1995;Przyjmuj¹ca; 187; 76; 309
Faimie Rose Kingsley;https://dl.siatkarskaliga.pl/69493/inline/scalecrop=400x400/80955f/13_Kingsley.jpg;https://www.tauronliga.pl/players/id/88259.html; 29.08.1990;Œrodkowa; 181; 76; 317
Katarzyna Konieczna;https://dl.siatkarskaliga.pl/69416/inline/scalecrop=400x400/64e631/Konieczna.jpg;https://www.tauronliga.pl/players/id/85572.html; 22.03.1985;Atakuj¹ca; 184; 79; 310
Klaudia Konieczna;https://dl.siatkarskaliga.pl/69486/inline/scalecrop=400x400/7d686a/05_Konieczna.jpg;https://www.tauronliga.pl/players/id/88408.html; 07.09.1995;Rozgrywaj¹ca; 182; 69; 292
Anna Korabiec;https://dl.siatkarskaliga.pl/69452/inline/scalecrop=400x400/9f1223/Anna-Korabiec.jpg;https://www.tauronliga.pl/players/id/88256.html; 11.01.1995;Libero; 175; 66; 275
Agnieszka Korneluk;https://dl.siatkarskaliga.pl/69417/inline/scalecrop=400x400/e037c1/Kakolewska.jpg;https://www.tauronliga.pl/players/id/88263.html; 17.10.1994;Œrodkowa; 200; 88; 320
Magdalena Kowalczyk;https://dl.siatkarskaliga.pl/69487/inline/scalecrop=400x400/236f13/06_Wawrzyniak.jpg;https://www.tauronliga.pl/players/id/85564.html; 14.03.1990;Atakuj¹ca; 185; 72; 305
Izabela Kowaliñska;https://dl.siatkarskaliga.pl/69477/inline/scalecrop=400x400/084f50/kowalinska.jpg;https://www.tauronliga.pl/players/id/85622.html; 23.02.1985;Atakuj¹ca; 189; 80; 310
Natalia Krawulska;https://dl.siatkarskaliga.pl/69491/inline/scalecrop=400x400/de03e8/10_Krawulska.jpg;https://www.tauronliga.pl/players/id/85678.html; 23.06.1988;Przyjmuj¹ca; 179; 60; 307
Aleksandra Krzos;https://dl.siatkarskaliga.pl/69473/inline/scalecrop=400x400/d4bedf/krzos.jpg;https://www.tauronliga.pl/players/id/85651.html; 23.06.1989;Libero; 180; 69; 282
Marta Kuehn-Jarek;https://dl.siatkarskaliga.pl/69484/inline/scalecrop=400x400/79434f/03_Kuehn-Jarek.jpg;https://www.tauronliga.pl/players/id/85568.html; 11.12.1981;Libero; 167; 62; 0
Joanna Kuligowska;https://dl.siatkarskaliga.pl/69483/inline/scalecrop=400x400/4162c9/02_Kuligowska.jpg;https://www.tauronliga.pl/players/id/85606.html; 25.11.1979;Przyjmuj¹ca; 181; 72; 297
Anita Kwiatkowska;https://dl.siatkarskaliga.pl/69511/inline/scalecrop=400x400/f32258/KwiatkowskaAnita.jpg;https://www.tauronliga.pl/players/id/85561.html; 05.03.1985;Atakuj¹ca; 184; 66; 304
Charlotte Leys;https://dl.siatkarskaliga.pl/69498/inline/scalecrop=400x400/97aeff/3-leys-ch.jpg;https://www.tauronliga.pl/players/id/85727.html; 18.03.1989;Przyjmuj¹ca; 184; 79; 304
Aleksandra Liniarska;//img.women.siatkarskaliga.pl/player_400.png;https://www.tauronliga.pl/players/id/85587.html; 12.12.1981;Œrodkowa; 188; 76; 303
Ma³gorzata Lis;https://dl.siatkarskaliga.pl/69456/inline/scalecrop=400x400/d6c5e7/Malgorzata-Lis.jpg;https://www.tauronliga.pl/players/id/85593.html; 14.04.1981;Œrodkowa; 185; 74; 310
Tabitha Love;https://dl.siatkarskaliga.pl/69510/inline/scalecrop=400x400/c8654a/LoveTabi.jpg;https://www.tauronliga.pl/players/id/88248.html; 11.09.1991;Atakuj¹ca; 196; 0; 323
Justyna £ukasik;https://dl.siatkarskaliga.pl/69506/inline/scalecrop=400x400/03d069/11-lukasik-j.jpg;https://www.tauronliga.pl/players/id/85669.html; 27.01.1993;Œrodkowa; 188; 80; 303
Marta £ukaszewska;https://dl.siatkarskaliga.pl/69437/inline/scalecrop=400x400/602fdc/lukaszewska.JPG;https://www.tauronliga.pl/players/id/85639.html; 11.03.1982;Atakuj¹ca; 184; 73; 302
Koleta £yszkiewicz;https://dl.siatkarskaliga.pl/69466/inline/scalecrop=400x400/a4ecec/Koleta-Lyszkiewicz.jpg;https://www.tauronliga.pl/players/id/85769.html; 22.01.1993;Przyjmuj¹ca; 193; 83; 315
Paulina Maj-Erwardt;https://dl.siatkarskaliga.pl/69529/inline/scalecrop=400x400/ceee6c/img_2536.jpg;https://www.tauronliga.pl/players/id/85559.html; 22.03.1987;Libero; 166; 58; 300
Tricia Mayba;https://dl.siatkarskaliga.pl/69482/inline/scalecrop=400x400/e40fb1/01_Mayba.jpg;https://www.tauronliga.pl/players/id/88257.html; 02.07.1989;Œrodkowa; 185; 82; 312
Magdalena Mazurek;https://dl.siatkarskaliga.pl/69523/inline/scalecrop=400x400/8bde2e/img_2683.jpg;https://www.tauronliga.pl/players/id/85567.html; 12.09.1983;Rozgrywaj¹ca; 182; 71; 296
Dorota Medyñska;https://dl.siatkarskaliga.pl/69421/inline/scalecrop=400x400/84124d/Medynska.jpg;https://www.tauronliga.pl/players/id/85772.html; 25.04.1993;Libero; 170; 60; 281
Natalia Mêdrzyk;https://dl.siatkarskaliga.pl/69530/inline/scalecrop=400x400/805e6d/img_2647.jpg;https://www.tauronliga.pl/players/id/85666.html; 13.01.1992;Przyjmuj¹ca; 184; 76; 302
