I;II;III;IV;V;GS;suma;BP;z-s;Liczba;b≥Ídy zagrywka;as;eff%;liczba;b≥Ídy przyjÍcie;poz%;perf%;liczba1;b≥Ídy atak;blok;Pkt;skut%;eff%1;pkt;wyblok;Nazwisko;Klub;Klucz;Data spotkania;Sezon;Faza;Kolejka
5;6;;;;-;2;1;2;1;0;0;0%;0;0;-;-;4;0;0;2;50%;50%;0;2;2 Gabriela PolaÒska ;Developres SkyRes RzeszÛw;"
							13.03.2021, 20:30Developres SkyRes RzeszÛw-3:1-Energa MKS Kalisz";"
							13.03.2021, 20:30
					";2021/2022;play-off;A-1
3;4;3;5;;-;34;8;24;20;1;0;15%;0;0;-;-;58;6;3;33;57%;41%;1;3;3 Kiera Van Ryk ;Developres SkyRes RzeszÛw;"
							13.03.2021, 20:30Developres SkyRes RzeszÛw-3:1-Energa MKS Kalisz";"
							13.03.2021, 20:30
					";2021/2022;play-off;A-1
*;;;;;-;0;0;0;1;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;4 Magdalena Grabka ;Developres SkyRes RzeszÛw;"
							13.03.2021, 20:30Developres SkyRes RzeszÛw-3:1-Energa MKS Kalisz";"
							13.03.2021, 20:30
					";2021/2022;play-off;A-1
6;1;6;2;;-;2;1;1;13;1;0;0%;0;0;-;-;4;0;0;2;50%;50%;0;2;5 Marta £yczakowska ;Developres SkyRes RzeszÛw;"
							13.03.2021, 20:30Developres SkyRes RzeszÛw-3:1-Energa MKS Kalisz";"
							13.03.2021, 20:30
					";2021/2022;play-off;A-1
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;6 Aleksandra RasiÒska ;Developres SkyRes RzeszÛw;"
							13.03.2021, 20:30Developres SkyRes RzeszÛw-3:1-Energa MKS Kalisz";"
							13.03.2021, 20:30
					";2021/2022;play-off;A-1
1;5;1;6;;-;18;7;9;17;0;0;18%;31;1;45%;16%;41;4;4;16;39%;20%;2;0;7 Jelena BlagojeviÊ ;Developres SkyRes RzeszÛw;"
							13.03.2021, 20:30Developres SkyRes RzeszÛw-3:1-Energa MKS Kalisz";"
							13.03.2021, 20:30
					";2021/2022;play-off;A-1
2;3;5;1;;-;8;1;4;18;1;0;6%;1;0;0%;0%;14;2;1;7;50%;28%;1;1;8 Anna Obia≥a ;Developres SkyRes RzeszÛw;"
							13.03.2021, 20:30Developres SkyRes RzeszÛw-3:1-Energa MKS Kalisz";"
							13.03.2021, 20:30
					";2021/2022;play-off;A-1
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;9 Anna Kaczmar ;Developres SkyRes RzeszÛw;"
							13.03.2021, 20:30Developres SkyRes RzeszÛw-3:1-Energa MKS Kalisz";"
							13.03.2021, 20:30
					";2021/2022;play-off;A-1
;*;2;4;;-;6;4;4;15;1;1;7%;1;0;100%;0%;6;1;0;2;33%;17%;3;3;10 Zuzanna Efimienko-M≥otkowska ;Developres SkyRes RzeszÛw;"
							13.03.2021, 20:30Developres SkyRes RzeszÛw-3:1-Energa MKS Kalisz";"
							13.03.2021, 20:30
					";2021/2022;play-off;A-1
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;12 Alexandra LaziÊ ;Developres SkyRes RzeszÛw;"
							13.03.2021, 20:30Developres SkyRes RzeszÛw-3:1-Energa MKS Kalisz";"
							13.03.2021, 20:30
					";2021/2022;play-off;A-1
