I;II;III;IV;V;Punkty;Liczba;as;b≥Ídy zagrywka;Asy na set;liczba;b≥Ídy przyjÍcie;Neg;Poz;poz%;Perf;perf%;liczba1;b≥Ídy atak;blok;Perf1;% perf;pkt;Pkt na set;Nazwisko;Klub;Klucz;Data spotkania;Sezon;Faza;Kolejka
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;2 Ewa Kwiatkowska ;£KS Commercecon £Ûdü;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
;*;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;4 Lucie Muhlsteinova ;£KS Commercecon £Ûdü;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
5;2;1;2;;18;18;1;0;0,25;38;5;9;20;53%;11;29%;36;0;2;14;39%;3;0,75;5 Regiane Bidias ;£KS Commercecon £Ûdü;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
2;5;4;5;;11;13;0;0;0,00;13;0;4;4;31%;1;8%;30;2;3;11;37%;0;0,00;6 Aleksandra WÛjcik ;£KS Commercecon £Ûdü;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
;;*;;;1;2;0;0;0,00;2;0;0;1;50%;0;0%;9;0;0;1;11%;0;0,00;7 Daria Szczyrba ;£KS Commercecon £Ûdü;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
*;*;*;4;;4;11;1;1;0,25;0;0;0;0;-;0;-;13;2;3;3;23%;0;0,00;8 Agata WawrzyÒczyk ;£KS Commercecon £Ûdü;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;10 Klaudia Gajewska ;£KS Commercecon £Ûdü;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;11 Anna Korabiec (L);£KS Commercecon £Ûdü;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
1;4;3;;;9;5;1;0;0,33;0;0;0;0;-;0;-;23;2;4;6;26%;2;0,67;12 Monika Ga≥kowska ;£KS Commercecon £Ûdü;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
*;*;*;*;;0;0;0;0;0,00;24;2;7;10;42%;5;21%;0;0;0;0;0%;0;0,00;13 Krystyna Strasz (L);£KS Commercecon £Ûdü;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
;*;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;1;0;0;0;0%;0;0,00;14 Izabela KowaliÒska ;£KS Commercecon £Ûdü;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
6;3;2;3;;11;14;1;3;0,25;0;0;0;0;-;0;-;7;0;1;5;71%;5;1,25;15 Klaudia Alagierska-Szczepaniak ;£KS Commercecon £Ûdü;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
3;6;5;6;;11;7;0;1;0,00;0;0;0;0;-;0;-;10;0;1;5;50%;6;1,50;16 Zuzanna Efimienko-M≥otkowska ;£KS Commercecon £Ûdü;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
4;1;6;1;;4;22;2;0;0,50;0;0;0;0;-;0;-;7;0;0;1;14%;1;0,25;17 Marta WÛjcik ;£KS Commercecon £Ûdü;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
;*;;;;3;2;0;1;0,00;5;0;2;2;40%;2;40%;6;0;0;3;50%;0;0,00;1 Marta Wellna ;BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
1;6;1;6;;7;21;4;3;1,00;0;0;0;0;-;0;-;4;1;1;1;25%;2;0,50;2 Julia Nowicka ;BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
5;4;5;4;;18;8;0;1;0,00;36;2;13;16;44%;9;25%;44;3;3;14;32%;4;1,00;3 Olivia RÛøaÒski ;BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
;*;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;4 Marta £yczakowska ;BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
4;3;4;3;;13;12;0;2;0,00;0;0;0;0;-;0;-;40;3;6;11;28%;2;0,50;6 Katarzyna Konieczna ;BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
6;5;6;5;;6;8;0;1;0,00;0;0;0;0;-;0;-;12;1;2;6;50%;0;0,00;9 Nina Herelova ;BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
;;;;;0;0;0;0;0,00;0;0;0;0;-;0;-;0;0;0;0;0%;0;0,00;10 Dominika Kozyra ;BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019£KS Commercecon £Ûdü-3:1-BKS PROFI CREDIT Bielsko-Bia≥a;24.03.2019, 17:30;2019/2020;play-off;A-1
