I;II;III;IV;V;GS;suma;BP;z-s;Liczba;b³;as;eff%;liczba;b³1;poz%;perf%;liczba1;b³2;blok;Pkt;skut%;eff%1;pkt;wyblok;Nazwisko;Klub;Klucz;Data spotkania
5;6;;;;-;2;1;2;1;0;0;0%;0;0;-;-;4;0;0;2;50%;50%;0;2;2 Gabriela Polañska ;I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
3;4;3;5;;-;34;8;24;20;1;0;15%;0;0;-;-;58;6;3;33;57%;41%;1;3;3 Kiera Van Ryk ;I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
*;;;;;-;0;0;0;1;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;4 Magdalena Grabka ;I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
6;1;6;2;;-;2;1;1;13;1;0;0%;0;0;-;-;4;0;0;2;50%;50%;0;2;5 Marta £yczakowska ;I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;6 Aleksandra Rasiñska ;I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
1;5;1;6;;-;18;7;9;17;0;0;18%;31;1;45%;16%;41;4;4;16;39%;20%;2;0;7 Jelena Blagojeviæ ;I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
2;3;5;1;;-;8;1;4;18;1;0;6%;1;0;0%;0%;14;2;1;7;50%;28%;1;1;8 Anna Obia³a ;I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;9 Anna Kaczmar ;I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
;*;2;4;;-;6;4;4;15;1;1;7%;1;0;100%;0%;6;1;0;2;33%;17%;3;3;10 Zuzanna Efimienko-M³otkowska ;I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;12 Alexandra Laziæ ;I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
4;2;4;3;;-;14;9;9;14;1;0;7%;42;1;50%;24%;29;1;2;11;38%;28%;3;0;16 Juliette Fidon-Lebleu ;I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
*;*;*;*;;-;0;0;0;0;0;0;-;15;0;53%;13%;0;0;0;0;-;-;0;0;17 Aleksandra Krzos (L);I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
*;*;*;*;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;20 Daria Przyby³a (L);I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
6;6;6;6;;-;3;2;2;15;0;1;7%;0;0;-;-;4;1;0;1;25%;0%;1;1;1 Ewelina Polak ;I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
5;5;5;5;;-;8;2;7;11;0;0;0%;0;0;-;-;12;0;1;6;50%;42%;2;5;3 Monika Ptak ;I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
2;2;2;2;;-;5;3;4;22;0;0;9%;1;0;0%;0%;11;1;0;2;18%;9%;3;6;4 Karolina Bednarek ;I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
;*;*;*;;-;0;0;-1;2;0;0;0%;0;0;-;-;3;1;0;0;0%;-33%;0;0;5 Julia Szczurowska ;I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
;;*;;;-;2;0;2;0;0;0;-;3;0;33%;33%;3;0;0;2;67%;67%;0;0;8 Zuzanna Wawrzyniak ;I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;10 Marta Budnik ;I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
4;4;4;4;;-;10;2;7;12;0;1;8%;27;0;41%;4%;20;1;2;9;45%;30%;0;1;11 Aleksandra Gromadowska ;I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
3;3;3;3;;-;26;8;15;14;4;0;-14%;0;0;-;-;44;2;5;24;55%;39%;2;2;12 Monika Ga³kowska ;I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
1;1;1;1;;-;13;4;10;11;0;0;0%;33;0;39%;18%;38;1;2;12;32%;24%;1;2;13 Emilia Mucha ;I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
;*;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;16 Julia Mazur (L);I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
*;*;*;*;;-;0;0;-1;0;0;0;-;29;1;48%;28%;0;0;0;0;-;-;0;0;18 Justyna £ysiak (L);I£ Capital Legionovia Legionowo;13.03.2021I£ Capital Legionovia Legionowo-3:1-Grupa Azoty Chemik Police;13.03.2021, 20:30;2021/2022
