Nazwisko;Klub;Sezon
Roksana Wers;#VolleyWroc³aw;2018/2019
Klaudia Felak;#VolleyWroc³aw;2018/2019
Karolina Piœla;#VolleyWroc³aw;2018/2019
Aleksandra Gancarz;#VolleyWroc³aw;2018/2019
Aleksandra Rasiñska;#VolleyWroc³aw;2018/2019
Weronika Wo³odko;#VolleyWroc³aw;2018/2019
Magdalena Soter;#VolleyWroc³aw;2018/2019
Natalia Murek;#VolleyWroc³aw;2018/2019
Magdalena Dzikowicz;#VolleyWroc³aw;2018/2019
Natalia Gajewska;#VolleyWroc³aw;2018/2019
Karolina Pancewicz;#VolleyWroc³aw;2018/2019
Monika Potokar;#VolleyWroc³aw;2018/2019
Anna £ozowska;#VolleyWroc³aw;2018/2019
Roksana Irzemska;#VolleyWroc³aw;2018/2019
Jolanta Kelner;#VolleyWroc³aw;2018/2019
Patrycja Balmas;Bank Pocztowy Pa³ac Bydgoszcz;2018/2019
Monika Jag³a;Bank Pocztowy Pa³ac Bydgoszcz;2018/2019
Marta Pol;Bank Pocztowy Pa³ac Bydgoszcz;2018/2019
Natalia Misiuna;Bank Pocztowy Pa³ac Bydgoszcz;2018/2019
Maja Pahor;Bank Pocztowy Pa³ac Bydgoszcz;2018/2019
Magdalena Mazurek;Bank Pocztowy Pa³ac Bydgoszcz;2018/2019
Ewelina ¯urowska;Bank Pocztowy Pa³ac Bydgoszcz;2018/2019
Tamara Ga³ucha;Bank Pocztowy Pa³ac Bydgoszcz;2018/2019
Joanna Kuligowska;Bank Pocztowy Pa³ac Bydgoszcz;2018/2019
Kinga Ró¿yñska;Bank Pocztowy Pa³ac Bydgoszcz;2018/2019
Monika Fedusio;Bank Pocztowy Pa³ac Bydgoszcz;2018/2019
Ma³gorzata Andersohn;Bank Pocztowy Pa³ac Bydgoszcz;2018/2019
Marta Wellna;BKS PROFI CREDIT Bielsko-Bia³a;2018/2019
Julia Nowicka;BKS PROFI CREDIT Bielsko-Bia³a;2018/2019
Olivia Ró¿añski;BKS PROFI CREDIT Bielsko-Bia³a;2018/2019
Marta £yczakowska;BKS PROFI CREDIT Bielsko-Bia³a;2018/2019
Klaudia Kubacka;BKS PROFI CREDIT Bielsko-Bia³a;2018/2019
Katarzyna Konieczna;BKS PROFI CREDIT Bielsko-Bia³a;2018/2019
Nina Herelova;BKS PROFI CREDIT Bielsko-Bia³a;2018/2019
Dominika Kozyra;BKS PROFI CREDIT Bielsko-Bia³a;2018/2019
Paulina Maj-Erwardt;BKS PROFI CREDIT Bielsko-Bia³a;2018/2019
Magda Jagodziñska;BKS PROFI CREDIT Bielsko-Bia³a;2018/2019
Martyna Œwirad;BKS PROFI CREDIT Bielsko-Bia³a;2018/2019
Ewa Kostera;BKS PROFI CREDIT Bielsko-Bia³a;2018/2019
Kornelia Moskwa;BKS PROFI CREDIT Bielsko-Bia³a;2018/2019
Emilia Mucha;BKS PROFI CREDIT Bielsko-Bia³a;2018/2019
Bianka Busa;Chemik Police;2018/2019
Martyna Grajber;Chemik Police;2018/2019
Agnieszka Bednarek;Chemik Police;2018/2019
Justyna £ukasik;Chemik Police;2018/2019
Marlena Kowalewska;Chemik Police;2018/2019
Iga Wasilewska;Chemik Police;2018/2019
Sanja Gamma;Chemik Police;2018/2019
Martyna £ukasik;Chemik Police;2018/2019
Chiaka Ogbogu;Chemik Police;2018/2019
Sladjana Mirkoviæ;Chemik Police;2018/2019
Natalia Mêdrzyk;Chemik Police;2018/2019
Aleksandra Krzos;Chemik Police;2018/2019
Justyna £ysiak;Chemik Police;2018/2019
Helene Rousseaux;Developres SkyRes Rzeszów;2018/2019
Maja Tokarska;Developres SkyRes Rzeszów;2018/2019
Kamila Witkowska;Developres SkyRes Rzeszów;2018/2019
Barbara Zakoœcielna;Developres SkyRes Rzeszów;2018/2019
Magdalena Hawry³a;Developres SkyRes Rzeszów;2018/2019
Katarzyna ¯abiñska;Developres SkyRes Rzeszów;2018/2019
Jelena Blagojeviæ;Developres SkyRes Rzeszów;2018/2019
Petya Barakowa;Developres SkyRes Rzeszów;2018/2019
Agata Sawicka;Developres SkyRes Rzeszów;2018/2019
Michaela Mlejnkova;Developres SkyRes Rzeszów;2018/2019
Dorota Medyñska;Developres SkyRes Rzeszów;2018/2019
Agnieszka Rabka;Developres SkyRes Rzeszów;2018/2019
Kinga Hatala;Developres SkyRes Rzeszów;2018/2019
Katarzyna Zaroœliñska-Król;Developres SkyRes Rzeszów;2018/2019
Eva Yaneva;Developres SkyRes Rzeszów;2018/2019
Ma³gorzata Jasek;DPD Legionovia Legionowo;2018/2019
Beata Olenderek;DPD Legionovia Legionowo;2018/2019
Ewelina Polak;DPD Legionovia Legionowo;2018/2019
Zuzanna Górecka;DPD Legionovia Legionowo;2018/2019
Magdalena Damaske-Dawid;DPD Legionovia Legionowo;2018/2019
Ma³gorzata Skorupa;DPD Legionovia Legionowo;2018/2019
Alicja Wójcik;DPD Legionovia Legionowo;2018/2019
Agnieszka Adamek;DPD Legionovia Legionowo;2018/2019
Aleksandra Rojecka;DPD Legionovia Legionowo;2018/2019
Adriana Adamek;DPD Legionovia Legionowo;2018/2019
Maria WoŸniak;DPD Legionovia Legionowo;2018/2019
Krystyna Kicka;DPD Legionovia Legionowo;2018/2019
Aleksandra Gryka;DPD Legionovia Legionowo;2018/2019
Julia Sobalska;DPD Legionovia Legionowo;2018/2019
Cassidy Pickrell;DPD Legionovia Legionowo;2018/2019
Natalia Skrzypkowska;E.Leclerc Radomka Radom;2018/2019
Olga Samul;E.Leclerc Radomka Radom;2018/2019
Sara Sakradzija;E.Leclerc Radomka Radom;2018/2019
Alicja Grabka;E.Leclerc Radomka Radom;2018/2019
Maja Pelczarska;E.Leclerc Radomka Radom;2018/2019
Julita Molenda;E.Leclerc Radomka Radom;2018/2019
Izabela Ba³ucka;E.Leclerc Radomka Radom;2018/2019
Gabriela Borawska;E.Leclerc Radomka Radom;2018/2019
Sonia Kubacka;E.Leclerc Radomka Radom;2018/2019
Kinga Drabek;E.Leclerc Radomka Radom;2018/2019
Renata Bia³a;E.Leclerc Radomka Radom;2018/2019
Brittany Abercrombie;E.Leclerc Radomka Radom;2018/2019
Gabriela Ponikowska;E.Leclerc Radomka Radom;2018/2019
Majka Szczepañska-Pogoda;E.Leclerc Radomka Radom;2018/2019
Alishanova Shafagat ;E.Leclerc Radomka Radom;2018/2019
Olga Strantzali;Enea PTPS Pi³a;2018/2019
Paula Czerwiñska;Enea PTPS Pi³a;2018/2019
Monika Kacprzak;Enea PTPS Pi³a;2018/2019
Anna Obia³a;Enea PTPS Pi³a;2018/2019
Marharyta Azizova;Enea PTPS Pi³a;2018/2019
Kamila Kobus;Enea PTPS Pi³a;2018/2019
Izabela Lemañczyk;Enea PTPS Pi³a;2018/2019
Aleksandra Trojan;Enea PTPS Pi³a;2018/2019
Klaudia Kaczorowska;Enea PTPS Pi³a;2018/2019
Patrycja Chrzan;Enea PTPS Pi³a;2018/2019
Anna Paw³owska;Enea PTPS Pi³a;2018/2019
Julia Piotrowska;Enea PTPS Pi³a;2018/2019
Paulina Szpak;Enea PTPS Pi³a;2018/2019
Ma³gorzata Sobolewska;Energa MKS Kalisz;2018/2019
Katarzyna Wawrzyniak;Energa MKS Kalisz;2018/2019
Anna G³owiak;Energa MKS Kalisz;2018/2019
Aleksandra Wañczyk;Energa MKS Kalisz;2018/2019
Alicia Ogoms;Energa MKS Kalisz;2018/2019
Kinga Dybek;Energa MKS Kalisz;2018/2019
Ewelina Janicka;Energa MKS Kalisz;2018/2019
Natalia Strózik;Energa MKS Kalisz;2018/2019
Adrianna Szady;Energa MKS Kalisz;2018/2019
Rebecka Lazic;Energa MKS Kalisz;2018/2019
Agata Nowak;Energa MKS Kalisz;2018/2019
Klaudia Kulig;Energa MKS Kalisz;2018/2019
Aleksandra Cygan;Energa MKS Kalisz;2018/2019
Anna Miros;Energa MKS Kalisz;2018/2019
Ljubica Kecman;Energa MKS Kalisz;2018/2019
Ewelina Brzeziñska;Energa MKS Kalisz;2018/2019
Maria Stenzel;Grot Budowlani £ódŸ;2018/2019
Gabriela Polañska;Grot Budowlani £ódŸ;2018/2019
Magdalena Stysiak;Grot Budowlani £ódŸ;2018/2019
Ma³gorzata Lisiak;Grot Budowlani £ódŸ;2018/2019
Jovana Brakocevic-Canzian;Grot Budowlani £ódŸ;2018/2019
Julia K¹kol;Grot Budowlani £ódŸ;2018/2019
Jaroslava Pencova;Grot Budowlani £ódŸ;2018/2019
Justyna Kêdziora;Grot Budowlani £ódŸ;2018/2019
Agata Babicz;Grot Budowlani £ódŸ;2018/2019
Femke Stoltenborg;Grot Budowlani £ódŸ;2018/2019
Ewelina Tobiasz;Grot Budowlani £ódŸ;2018/2019
Oliwia Urban;Grot Budowlani £ódŸ;2018/2019
Anna B¹czyñska;Grot Budowlani £ódŸ;2018/2019
Zuzanna Kuciñska;KSZO Ostrowiec;2018/2019
Justyna Wojtowicz;KSZO Ostrowiec;2018/2019
Katarzyna Zackiewicz;KSZO Ostrowiec;2018/2019
Natalia Czapla;KSZO Ostrowiec;2018/2019
Olga Geyko;KSZO Ostrowiec;2018/2019
Kinga Kasprzak;KSZO Ostrowiec;2018/2019
Svitlana Dorsman;KSZO Ostrowiec;2018/2019
Koleta £yszkiewicz;KSZO Ostrowiec;2018/2019
Anastasiia Trach;KSZO Ostrowiec;2018/2019
Olga Pauliukouskaya;KSZO Ostrowiec;2018/2019
