I;II;III;IV;V;GS;suma;BP;z-s;Liczba;b³;as;eff%;liczba;b³1;poz%;perf%;liczba1;b³2;blok;Pkt;skut%;eff%1;pkt;wyblok;Nazwisko;Klub;Klucz;Data spotkania
*;*;*;;;-;0;0;-1;0;0;0;-;14;1;86%;79%;0;0;0;0;-;-;0;0;1 Maria Stenzel (L);I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
;;*;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;3 Naiane De Almeida Rios ;I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
1;1;1;;;-;5;4;5;14;0;4;43%;0;0;-;-;2;0;0;1;50%;50%;0;2;4 Marlena Kowalewska ;I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
3;3;3;;;-;11;5;9;18;2;1;0%;0;0;-;-;11;0;0;7;64%;64%;3;2;5 Agnieszka K¹kolewska ;I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
4;4;4;;;-;18;6;12;11;1;0;9%;0;0;-;-;25;2;3;16;64%;44%;2;3;6 Jovana Brakocevic-Canzian ;I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
6;;;;;-;1;0;0;1;1;0;-100%;0;0;-;-;2;0;0;1;50%;50%;0;1;9 Iga Wasilewska ;I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
*;6;;;;-;3;2;3;3;0;0;0%;0;0;-;-;5;0;0;2;40%;40%;1;2;10 Katarzyna Po³eæ ;I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
5;2;2;;;-;9;4;5;16;2;1;-6%;15;0;33%;13%;18;2;0;8;44%;33%;0;1;11 Martyna £ukasik ;I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;12 Aleksandra Lipska ;I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
2;5;5;;;-;11;5;8;8;1;0;-12%;16;0;31%;25%;20;0;2;11;55%;45%;0;3;15 Martyna Czyrniañska ;I£ Capital Legionovia Legionowo;03.04.2022I£ Capital Legionovia Legionowo-3:0-Grupa Azoty Chemik Police;03.04.2022, 19:00
